"","VALUE","Freq","CLASSNAMES","R","G","B","RED","GREEN","BLUE","ACRES","REL_PERCENT"
"79",170,14,"Tree Cover = 70%",39,117,23,0.152941,0.458824,0.090196,3,0
"80",171,1,"Tree Cover = 71%",37,115,22,0.145098,0.45098,0.086275,0,0
"81",173,1,"Tree Cover = 73%",33,110,20,0.129412,0.431373,0.078431,0,0
"82",175,4,"Tree Cover = 75%",31,105,18,0.121569,0.411765,0.070588,1,0
"83",179,1,"Tree Cover = 79%",23,94,13,0.090196,0.368627,0.05098,0,0
"84",180,1,"Tree Cover = 80%",22,94,12,0.086275,0.368627,0.047059,0,0
"85",181,3,"Tree Cover = 81%",21,92,12,0.082353,0.360784,0.047059,1,0
"86",210,951,"Shrub Cover = 10%",212,178,125,0.831373,0.698039,0.490196,211,0
"87",211,973,"Shrub Cover = 11%",212,176,123,0.831373,0.690196,0.482353,216,0
"88",212,2092,"Shrub Cover = 12%",212,175,123,0.831373,0.686275,0.482353,465,0
"89",213,27,"Shrub Cover = 13%",212,174,121,0.831373,0.682353,0.47451,6,0
"90",214,4660,"Shrub Cover = 14%",209,170,119,0.819608,0.666667,0.466667,1036,0
"91",215,10047,"Shrub Cover = 15%",209,168,117,0.819608,0.658824,0.458824,2234,0.1
"92",216,21024,"Shrub Cover = 16%",209,166,117,0.819608,0.65098,0.458824,4676,0.1
"93",217,86,"Shrub Cover = 17%",209,165,115,0.819608,0.647059,0.45098,19,0
"94",218,42801,"Shrub Cover = 18%",209,164,115,0.819608,0.643137,0.45098,9519,0.2
"95",219,79983,"Shrub Cover = 19%",209,161,113,0.819608,0.631373,0.443137,17788,0.5
"96",220,140243,"Shrub Cover = 20%",207,159,112,0.811765,0.623529,0.439216,31189,0.8
"97",221,1578,"Shrub Cover = 21%",207,156,109,0.811765,0.611765,0.427451,351,0
"98",222,223358,"Shrub Cover = 22%",207,155,109,0.811765,0.607843,0.427451,49674,1.3
"99",223,317296,"Shrub Cover = 23%",207,154,107,0.811765,0.603922,0.419608,70565,1.8
"100",224,482776,"Shrub Cover = 24%",207,152,107,0.811765,0.596078,0.419608,107367,2.8
"101",225,23039,"Shrub Cover = 25%",207,151,105,0.811765,0.592157,0.411765,5124,0.1
"102",226,754036,"Shrub Cover = 26%",204,147,104,0.8,0.576471,0.407843,167694,4.4
"103",227,909021,"Shrub Cover = 27%",204,146,102,0.8,0.572549,0.4,202161,5.3
"104",228,1023724,"Shrub Cover = 28%",204,145,102,0.8,0.568627,0.4,227671,5.9
"105",229,112185,"Shrub Cover = 29%",204,142,100,0.8,0.556863,0.392157,24949,0.7
"106",230,1034176,"Shrub Cover = 30%",204,142,100,0.8,0.556863,0.392157,229995,6
"107",231,929314,"Shrub Cover = 31%",201,137,97,0.788235,0.537255,0.380392,206674,5.4
"108",232,901669,"Shrub Cover = 32%",201,137,97,0.788235,0.537255,0.380392,200526,5.2
"109",233,319389,"Shrub Cover = 33%",201,134,95,0.788235,0.52549,0.372549,71030,1.9
"110",234,860256,"Shrub Cover = 34%",201,134,95,0.788235,0.52549,0.372549,191316,5
"111",235,306068,"Shrub Cover = 35%",201,132,95,0.788235,0.517647,0.372549,68068,1.8
"112",236,631457,"Shrub Cover = 36%",199,129,91,0.780392,0.505882,0.356863,140433,3.7
"113",238,85169,"Shrub Cover = 38%",199,126,90,0.780392,0.494118,0.352941,18941,0.5
"114",239,74743,"Shrub Cover = 39%",199,126,90,0.780392,0.494118,0.352941,16622,0.4
"115",240,34438,"Shrub Cover = 40%",199,123,88,0.780392,0.482353,0.345098,7659,0.2
"116",241,12,"Shrub Cover = 41%",196,121,86,0.768627,0.47451,0.337255,3,0
